yield_class,age,average_height,dbh,taper,trees_per_ha,basal_area
9.0,160.0,35.615744898235604,43.58565207415556,0.4394533590415331,377.0,56.36434745371128
20.0,40.0,17.7,19.8,0.474,1582.0,48.7
5.0,90.0,14.75884443769722,23.230393976239498,0.4386225837605709,1056.0,44.78723677740812
10.0,50.0,11.203487965717326,17.97866614501199,0.4524601025599906,1717.0,43.59052142502438
7.0,70.0,18.7,21.5,0.442,1276.0,46.5
9.0,30.0,13.0,13.48,0.389,2084.0,29.74
12.0,70.0,21.38472068385253,26.99552309084873,0.4503703671989045,957.0,54.77566747242198
4.0,30.0,5.3,7.6,0.265,3319.0,15.3
3.0,30.0,12.2,10.1,0.383,1734.0,13.89
5.0,60.0,15.6,14.8,0.463,1658.0,28.7
16.0,60.0,25.3,25.4,0.478,1029.0,52.1
4.0,210.0,31.684973252029188,42.79464518980086,0.4340199218191498,414.0,59.66775986106602
4.0,230.0,20.6,32.3,0.43,555.0,45.5
10.0,60.0,14.6,14.6,0.519,2323.0,38.9
7.0,50.0,21.6,27.2,0.493,600.0,34.86
2.0,200.0,12.7,29.7,0.49892956928771,628.0,43.4
9.0,50.0,18.4,17.6,0.445,1851.0,44.9
10.0,100.0,28.9,34.6,0.447,629.0,59.3
13.0,45.0,25.0,27.3,0.44,697.0,40.7
4.0,70.0,13.1,12.5,0.495,2361.0,29.0
6.0,130.0,24.5,32.5,0.446,622.0,51.5
3.0,190.0,26.1795764302285,36.39161550435239,0.4364683998422255,543.0,56.515268700040735
3.0,40.0,11.4,13.1,0.448,1058.0,14.26
4.0,120.0,20.0,24.1,0.462,855.0,39.1
2.0,120.0,14.881700926178253,23.66230931508996,0.4370573219213232,800.0,35.2194639907145
18.0,25.0,16.6,14.8,0.44,2104.0,36.2
16.0,20.0,8.0,7.3,0.387,6070.0,25.1
3.0,90.0,12.013607153198288,20.792627087528064,0.4359057399502459,1074.0,36.4971782753131
3.0,90.0,19.8,21.9,0.483,540.0,20.34
16.0,60.0,19.420375076811982,23.41445825407424,0.4574160645512917,1386.0,59.6887797039251
17.0,50.0,31.6,34.9,0.42,459.0,43.8
11.0,110.0,30.20045327028904,36.37106682952955,0.4459418231181812,540.0,56.10615570270824
9.0,150.0,30.6,40.4,0.439,451.0,57.8
4.0,50.0,15.8,18.7,0.452,661.0,18.15
6.0,190.0,33.87464433906191,43.203834102708186,0.4373011015661231,360.0,52.871404028202186
7.0,120.0,25.7,32.9,0.448,545.0,46.4
17.0,70.0,28.3,41.5,0.484,253.0,34.22
14.0,100.0,30.5,39.4,0.483,411.0,50.1
2.0,120.0,15.3,23.2,0.509,659.0,27.9
9.0,50.0,18.0,19.5,0.475,1285.0,38.2
8.0,140.0,30.2,37.6,0.443,520.0,57.9
12.0,40.0,15.7,15.9,0.528,1757.0,34.7
7.0,180.0,36.5,55.7,0.389,180.0,43.8
15.0,50.0,26.1,31.6,0.487,552.0,43.29
6.0,50.0,19.5,24.8,0.499,672.0,32.46
4.0,80.0,21.3,31.0,0.414,384.0,28.98
7.0,50.0,17.0,21.1,0.437,797.0,27.8
20.0,20.0,20.8,34.2,0.411,299.0,27.47
2.0,100.0,14.8,21.5,0.441,621.0,22.55
6.0,70.0,15.7,19.5,0.454,1536.0,45.8
8.0,60.0,17.0,17.5,0.482,1541.0,37.1
9.0,80.0,23.0,27.8,0.455,863.0,52.5
18.0,20.0,12.2,11.7,0.41,2898.0,31.1
4.0,210.0,31.60267560808485,41.19128400662744,0.437447033604196,389.0,51.86771572999146
6.0,200.0,35.21995445672661,44.79468110944782,0.4362583479317504,334.0,52.7719747052824
2.0,110.0,12.025688020206976,22.113332982963733,0.4268466785476598,969.0,37.2191193135206
8.0,30.0,9.6,11.0,0.473,2689.0,25.4
9.0,120.0,31.1,48.4,0.423,231.0,42.5
17.0,30.0,8.031752439662311,12.702148423179604,0.4976922729252928,3355.0,42.52070678550319
9.0,60.0,21.5,21.2,0.435,1365.0,48.3
5.0,130.0,23.0,37.5,0.501,317.0,35.0
20.0,60.0,27.1,31.4,0.463,711.0,55.1
4.0,60.0,8.030353079048435,16.6021606618223,0.4387596708758884,1558.0,33.7465256500614
4.0,120.0,22.1,40.0,0.449,214.0,26.89
6.0,130.0,26.2,40.5,0.504,285.0,36.7
10.0,60.0,19.2,23.1,0.463,1163.0,48.7
14.0,30.0,10.554911130812188,13.92003858599293,0.4902430543869533,2414.0,36.73956524224031
4.0,160.0,25.7,42.4,0.407,243.0,34.3
7.0,40.0,6.29648852283213,13.253750705362211,0.4686027181801885,2505.0,34.56864251843756
5.0,70.0,15.1,20.5,0.457,987.0,32.7
8.0,150.0,32.5,40.35,0.405,394.0,50.43
8.0,160.0,33.622398606466284,44.27671854646535,0.4345413329298172,403.0,62.09349847135976
14.0,100.0,30.74681960228539,38.81718062384253,0.4411945261710144,542.0,64.25840853510877
14.0,70.0,22.8,26.1,0.505,888.0,47.5
4.0,60.0,8.657396493702949,16.361697291746683,0.4490672381222079,1247.0,26.22668210637653
17.0,40.0,12.037380342600237,16.047484864152832,0.4736896204237549,2526.0,51.097817098816016
17.0,20.0,7.4,8.0,0.533,6566.0,33.2
8.0,130.0,26.1,33.8,0.476,503.0,45.2
6.0,60.0,18.0,20.9,0.449,904.0,31.01
10.0,70.0,20.6499880172074,24.519339437286312,0.456948896561431,998.0,47.13665117654623
6.0,150.0,26.2,34.9,0.443,490.0,46.9
7.0,50.0,12.8,13.2,0.487,2160.0,29.6
5.0,90.0,20.1,24.5,0.46,810.0,38.2
9.0,50.0,13.621740099743745,18.566337891943093,0.4607477425017597,1462.0,39.598859002439525
6.0,230.0,38.91457905592991,49.24301514647664,0.4330733391231545,273.0,52.16936682976579
5.0,50.0,9.41893281499352,15.664506588177453,0.4641480835045893,1493.0,28.791101220791862
5.0,120.0,25.5,38.7,0.404,265.0,31.17
2.0,170.0,20.14687633441525,29.74347824967198,0.436563687928152,732.0,50.89403409089474
3.0,230.0,17.1,41.4,0.4982029109284366,366.0,49.3
7.0,70.0,17.0,21.8,0.463,1186.0,44.1
4.0,70.0,12.4,18.0,0.464,1167.0,29.5
4.0,40.0,10.8,10.79,0.341,2207.0,20.17
13.0,70.0,26.0,26.7,0.463,903.0,50.6
17.0,40.0,26.7,57.4,0.413,164.0,42.44
6.0,70.0,12.134901056699542,20.021258225756934,0.4423276703136354,1369.0,43.10469262383111
2.0,60.0,5.6499962226809215,14.003138338641886,0.4383487433800041,1356.0,20.887730315622743
4.0,100.0,15.9,22.2,0.507,897.0,34.7
3.0,100.0,15.3,25.8,0.492,538.0,28.0
7.0,200.0,33.79760857500739,47.66015659816269,0.4277860954603085,323.0,57.72414207382744
7.0,100.0,26.7,31.95,0.419,541.0,43.35
14.0,40.0,17.5,17.4,0.527,1560.0,37.2
14.0,130.0,38.5,47.0,0.438,434.0,75.4
2.0,140.0,18.1,23.2,0.439,547.0,23.2
7.0,40.0,9.1,12.0,0.467,2629.0,29.8
2.0,180.0,11.9,27.6,0.49782946353897,704.0,42.2
19.0,30.0,25.4,49.8,0.411,192.0,37.4
17.0,30.0,19.8,18.3,0.45,1473.0,38.7
7.0,60.0,10.0,22.7,0.4808184143222506,971.0,39.1
18.0,50.0,28.1,38.1,0.474,303.0,34.54
5.0,170.0,25.2,35.6,0.479,381.0,38.0
3.0,90.0,12.66423806911036,22.44411131817343,0.4296543307731476,927.0,36.68919287316521
13.0,30.0,16.3,15.8,0.45,1740.0,34.2
6.0,50.0,16.0,17.34,0.42,1256.0,29.67
4.0,40.0,16.9,15.7,0.431,974.0,18.86
2.0,100.0,10.5,17.9,0.46,1021.0,25.8
10.0,80.0,24.9,29.7,0.502,619.0,42.9
15.0,40.0,22.6,24.9,0.495,835.0,40.66
5.0,40.0,6.494943748481579,12.871855086261949,0.4796056425548236,2034.0,26.469330472742364
10.0,20.0,5.9,8.1,0.363,4128.0,21.5
17.0,80.0,28.3,43.0,0.488,237.0,34.42
9.0,30.0,14.2,16.0,0.439,1280.0,25.8
11.0,50.0,19.9,21.7,0.47,1153.0,42.8
3.0,30.0,9.2,9.9,0.436,1518.0,11.69
3.0,70.0,9.692775874089374,18.353637056397545,0.4369353193874667,1161.0,30.719416561488966
3.0,110.0,15.6,24.9,0.442,642.0,31.2
4.0,200.0,27.48851610078382,40.871304508674406,0.4287357111272837,400.0,52.57822743770644
4.0,50.0,18.4,25.5,0.43,528.0,26.97
4.0,140.0,17.7,24.3,0.505,608.0,28.2
6.0,30.0,17.9,24.0,0.434,586.0,26.51
5.0,100.0,12.2,28.4,0.4971781779091642,674.0,42.7
3.0,110.0,18.5,33.8,0.445,263.0,23.6
13.0,30.0,8.734066826336253,11.035520455201889,0.527947877228945,4272.0,40.86267334228249
3.0,220.0,16.2,26.0,0.447,898.0,47.5
5.0,30.0,12.2,14.8,0.527,1419.0,24.41
4.0,90.0,16.4,17.2,0.481,1533.0,35.5
8.0,170.0,35.22678947484519,46.046374510619344,0.4336704857869154,378.0,62.97342594939197
7.0,80.0,15.708262893925156,23.269737109868764,0.443410148347035,1172.0,49.8445094011788
6.0,20.0,13.6,17.0,0.437,971.0,22.04
6.0,80.0,20.2,26.4,0.441,682.0,37.4
10.0,30.0,16.0,17.4,0.446,1149.0,27.2
9.0,170.0,30.7,45.6,0.469,249.0,40.66
11.0,120.0,38.3,42.2,0.403,470.0,65.9
11.0,150.0,37.74717450897384,47.78170809799338,0.4342122823710275,368.0,66.0008225522329
4.0,160.0,16.0,38.3,0.4981694560669456,416.0,47.8
17.0,80.0,33.4,36.5,0.454,538.0,56.2
9.0,100.0,26.6,31.2,0.453,648.0,49.6
11.0,60.0,23.8,24.9,0.465,949.0,46.3
3.0,130.0,18.03941522231686,26.967494342748385,0.4379866677920696,870.0,49.69628336837428
14.0,120.0,37.4,45.5,0.439,457.0,74.2
11.0,50.0,26.6,29.0,0.436,509.0,33.7
5.0,160.0,24.4,34.3,0.481,415.0,38.4
9.0,150.0,32.13000794865721,44.116077564213874,0.4320182504473908,382.0,58.540469937121166
3.0,210.0,28.18952469380158,37.856980901764025,0.4378572893516821,450.0,50.655258111815535
7.0,100.0,22.8,29.2,0.451,757.0,50.8
3.0,120.0,19.8,31.5,0.458,304.0,23.69
18.0,20.0,8.0,8.3,0.531,6380.0,34.1
20.0,40.0,28.1,36.0,0.469,340.0,34.61
1.0,170.0,7.9,17.7,0.4635407380994829,1443.0,35.5
12.0,80.0,36.0,39.9,0.415,454.0,56.8
11.0,70.0,23.7,28.0,0.456,893.0,54.8
6.0,60.0,16.8,22.2,0.437,721.0,27.9
8.0,80.0,21.7,23.5,0.467,1011.0,43.9
7.0,130.0,27.5,36.4,0.416,467.0,48.6
7.0,60.0,18.4,19.7,0.475,1233.0,37.6
8.0,20.0,13.3,13.8,0.493,1211.0,18.11
6.0,80.0,17.7,25.3,0.497,425.0,21.37
5.0,90.0,20.4,28.7,0.494,459.0,29.8
9.0,80.0,18.89711731608552,24.875688290705508,0.4497902893563971,1052.0,51.15472238541069
9.0,50.0,21.9,30.2,0.465,437.0,31.3
4.0,170.0,26.447117291626466,35.54782485005591,0.4393949509688926,513.0,50.94227717623646
14.0,20.0,7.2,10.6,0.441,3119.0,27.3
5.0,110.0,19.242309620431737,29.602784775739213,0.4333485170552643,693.0,47.75967807512843
8.0,40.0,13.6,11.6,0.413,2506.0,26.3
8.0,50.0,14.1,14.4,0.487,1959.0,32.1
5.0,90.0,21.8,23.8,0.485,744.0,33.2
16.0,110.0,35.2,49.0,0.465,278.0,52.5
9.0,130.0,27.7,35.4,0.471,475.0,46.8
5.0,60.0,6.3,13.9,0.4436557231588287,2127.0,32.2
8.0,40.0,10.2,13.2,0.473,2411.0,32.8
7.0,100.0,27.2,35.9,0.421,421.0,42.6
12.0,90.0,25.240291517284604,32.37489658735947,0.4448566729671185,744.0,61.31767878035343
9.0,80.0,28.9,35.6,0.426,363.0,36.3
5.0,100.0,23.1,26.5,0.488,611.0,33.8
8.0,110.0,29.9,36.59,0.411,456.0,47.92
5.0,100.0,17.6,23.7,0.502,853.0,37.8
4.0,120.0,18.79635411593898,29.70463252046249,0.4310221570024716,665.0,46.10778377987744
5.0,140.0,25.5,35.4,0.496,354.0,34.8
2.0,120.0,16.1,26.2,0.457,351.0,18.92
16.0,30.0,24.1,28.7,0.465,450.0,29.11
4.0,100.0,21.1,34.5,0.45,268.0,25.05
5.0,50.0,14.1,14.5,0.488,1673.0,27.6
4.0,110.0,17.22694491361825,25.723188851524235,0.4394106550236125,955.0,49.672182525600405
13.0,70.0,26.0,30.3,0.503,630.0,45.5
14.0,60.0,24.5,27.2,0.508,762.0,44.2
12.0,75.0,32.2,42.4,0.4,300.0,42.2
3.0,70.0,19.2,19.2,0.461,690.0,19.98
4.0,160.0,25.154352496112107,34.8006421289494,0.4378786677644737,596.0,56.71828394137345
5.0,200.0,32.4611892041737,41.91548167773725,0.4375045799830271,379.0,52.320081220738935
6.0,60.0,24.7,36.6,0.404,305.0,32.09
3.0,60.0,11.2,11.3,0.43,2258.0,23.0
17.0,20.0,22.6,26.9,0.466,397.0,22.56
7.0,100.0,26.0,37.7,0.48,340.0,37.95
6.0,110.0,23.7,33.7,0.486,402.0,35.86
11.0,30.0,8.670076932874608,13.257811370472323,0.4921465471429784,2304.0,31.817943009105797
8.0,140.0,33.9,46.6,0.416,227.0,38.7
9.0,50.0,26.0,30.1,0.452,484.0,34.44
4.0,40.0,7.4,10.7,0.352,1954.0,17.5
13.0,150.0,37.3,46.8,0.437,390.0,66.9
4.0,30.0,14.2,18.2,0.44,875.0,22.76
13.0,100.0,30.8,41.2,0.49,380.0,50.7
8.0,150.0,28.8,38.7,0.44,467.0,55.0
7.0,180.0,34.47536872640666,45.44585258580489,0.4336104998788722,383.0,62.146328672728686
3.0,80.0,12.5,16.8,0.436,1051.0,23.2
12.0,40.0,13.142948888919571,16.749572786271866,0.4719421155382122,1811.0,39.9123459353357
14.0,30.0,14.9,15.5,0.486,1911.0,36.1
3.0,180.0,24.5,37.1,0.481,281.0,30.3
9.0,100.0,32.7,40.6,0.413,377.0,48.7
7.0,190.0,34.82695295957198,44.76104335313834,0.4356593448240383,348.0,54.83899387242164
6.0,40.0,6.219745929339213,12.27844025044018,0.4875345574975659,1815.0,21.49987787505456
18.0,60.0,28.6,27.9,0.468,894.0,54.6
9.0,80.0,19.881734044514705,27.549686160461217,0.4432784510867514,872.0,52.020571816727575
15.0,40.0,14.352963772274055,15.455069811852674,0.484678711994079,2533.0,47.533952789299725
8.0,200.0,39.6,58.8,0.386,175.0,47.5
8.0,150.0,24.9,63.0,0.4819277108433735,185.0,57.5
28.0,40.0,34.4,72.2,0.429,123.0,50.36
7.0,70.0,24.3,33.1,0.485,427.0,36.74
11.0,230.0,44.6,54.6,0.394,280.0,65.6
9.0,140.0,35.2,45.3,0.503,234.0,37.7
9.0,40.0,14.7,12.5,0.434,2269.0,27.7
4.0,80.0,14.9,14.8,0.488,1893.0,32.7
12.0,110.0,30.851278872397536,40.09589671251648,0.4384249238553877,475.0,60.05909356984288
2.0,210.0,23.18276055909589,36.611120757667386,0.4266813862970328,449.0,47.33255930793925
11.0,30.0,7.499951973720791,11.155129242722472,0.5232133782360794,3951.0,38.618276912708936
9.0,110.0,32.2,39.92,0.405,411.0,51.39
11.0,80.0,28.4,31.2,0.454,678.0,51.8
7.0,100.0,22.6741519654362,28.97180509981585,0.4477824917616403,726.0,47.901678868890535
5.0,40.0,8.1,9.4,0.465,3529.0,24.2
9.0,220.0,39.3,52.1,0.398,246.0,52.5
10.0,40.0,11.4139771379391,16.126001028841127,0.4704125528568979,1799.0,36.76155249603001
8.0,60.0,14.3,17.7,0.512,1594.0,39.4
12.0,150.0,36.3,44.6,0.439,403.0,62.9
7.0,50.0,8.621424572773762,15.836884229581315,0.455449886141281,1997.0,39.349659501654
4.0,80.0,14.2,20.7,0.455,932.0,31.5
5.0,100.0,23.5,35.2,0.459,309.0,30.07
10.0,150.0,31.0,40.2,0.461,373.0,47.4
5.0,150.0,26.9,38.3,0.426,295.0,34.0
6.0,50.0,12.8,16.3,0.473,1439.0,30.2
7.0,120.0,26.7,33.0,0.448,555.0,47.6
2.0,230.0,26.892364884760152,37.68473083726305,0.4350370208007243,501.0,55.91536114875365
20.0,70.0,30.8,37.1,0.453,523.0,56.5
11.0,140.0,35.805131100491245,45.88043411401237,0.4349827542416949,391.0,64.66178314757865
8.0,90.0,25.6,29.6,0.422,734.0,50.5
15.0,110.0,35.6,43.5,0.447,359.0,53.3
13.0,40.0,16.6,16.6,0.527,1635.0,36.0
13.0,30.0,21.7,25.8,0.472,488.0,25.51
6.0,120.0,26.0,30.9,0.42,551.0,41.31
8.0,150.0,27.9,36.8,0.47,420.0,44.7
15.0,40.0,12.020847848055263,13.45209656652903,0.4979347151117798,3214.0,45.69182348037061
12.0,20.0,11.5,12.8,0.492,2481.0,32.0
5.0,140.0,23.77670045523194,32.37655334688487,0.4407026718092889,614.0,50.57907719436096
11.0,50.0,22.6,30.4,0.476,362.0,26.28
4.0,130.0,20.553238276053577,29.32439677061991,0.4395461536722992,792.0,53.55280018427593
5.0,70.0,13.505642517574149,20.367655711063637,0.4482813451874884,1130.0,36.829687447097406
2.0,180.0,25.4,40.3,0.478,178.0,22.7
10.0,120.0,29.795290640025215,39.048821309076274,0.4386373069337568,514.0,61.643590206195306
8.0,30.0,4.5746744967042,10.611076269672491,0.472804976518133,3541.0,31.3211598224855
9.0,60.0,16.534225229052286,21.25949047146533,0.4570049844184111,1213.0,43.06730694021186
11.0,20.0,11.9,13.1,0.448,1789.0,24.0
11.0,30.0,21.9,28.6,0.467,414.0,26.05
5.0,30.0,6.8,8.1,0.386,3959.0,20.2
2.0,60.0,12.6,12.97,0.382,1551.0,20.5
6.0,60.0,17.7,18.8,0.477,1223.0,34.0
13.0,60.0,17.93466549256092,20.89541230731,0.4635252652080622,1514.0,51.94221608735327
8.0,40.0,10.7,11.3,0.478,2570.0,25.9
10.0,140.0,34.829374314361715,41.29239262019535,0.4430848303216046,421.0,56.43047034963693
4.0,50.0,8.3,12.5,0.485,1925.0,23.6
11.0,110.0,32.4,38.2,0.445,496.0,56.8
15.0,80.0,29.8,32.5,0.465,649.0,54.0
8.0,80.0,25.8,30.9,0.539,386.0,28.95
3.0,110.0,19.1,27.8,0.424,433.0,26.28
9.0,50.0,15.2,15.6,0.488,1805.0,34.4
5.0,200.0,33.0,55.6,0.389,147.0,35.6
9.0,130.0,30.8,37.8,0.444,477.0,53.7
4.0,50.0,9.8,13.6,0.401,1413.0,20.4
12.0,150.0,33.1,50.7,0.481,256.0,51.8
11.0,70.0,23.7,24.5,0.466,999.0,47.1
4.0,110.0,19.0,21.8,0.468,1032.0,38.6
5.0,70.0,18.9,21.1,0.429,914.0,31.96
4.0,130.0,19.2,29.1,0.444,605.0,40.3
11.0,70.0,23.6,34.3,0.479,296.0,27.35
2.0,150.0,18.189950443691902,27.79804232283595,0.4354074933757541,647.0,39.2920997624629
8.0,130.0,28.2,36.8,0.442,501.0,53.2
2.0,80.0,14.4,15.24,0.407,1254.0,22.88
5.0,20.0,11.2,11.5,0.357,1517.0,15.76
8.0,100.0,25.3,31.9,0.498,532.0,42.5
11.0,140.0,37.18214484242198,45.19558587960924,0.4385665375243692,346.0,55.5261715695861
17.0,30.0,13.2,13.1,0.494,2359.0,32.0
29.0,50.0,36.9,80.3,0.439,108.0,54.69
9.0,50.0,12.9,15.6,0.516,2013.0,38.6
8.0,100.0,28.9,35.06,0.414,485.0,46.85
4.0,50.0,17.0,19.1,0.451,758.0,21.72
2.0,100.0,12.4651833898063,20.59428871779023,0.4404753350654642,940.0,31.326177200886452
4.0,70.0,6.7,14.7,0.4400489951458513,1952.0,32.9
7.0,240.0,39.7,63.5,0.38,135.0,42.8
5.0,120.0,24.1,39.8,0.461,248.0,30.85
8.0,140.0,31.9,41.2,0.408,378.0,50.5
6.0,90.0,16.486638703590014,24.351569984249107,0.4420045786283714,1015.0,47.28065238779192
9.0,150.0,33.957525360311536,44.41427129954897,0.4348587788032532,404.0,62.7026315068018
18.0,50.0,29.1,64.8,0.418,142.0,46.83
9.0,100.0,26.5,33.9,0.496,491.0,44.2
18.0,110.0,38.0,54.0,0.45,239.0,54.8
2.0,150.0,19.2,24.8,0.436,490.0,23.7
4.0,90.0,14.37198845489363,24.066959156710656,0.4319150122068722,903.0,41.10878617319387
7.0,110.0,25.9,31.4,0.45,602.0,46.6
7.0,220.0,32.6,46.7,0.405,262.0,44.9
4.0,190.0,25.7,37.8,0.477,302.0,34.0
14.0,60.0,31.7,38.3,0.41,368.0,42.4
9.0,80.0,21.5,32.0,0.484,317.0,25.49
10.0,70.0,23.0,26.2,0.508,754.0,40.8
4.0,60.0,12.4,15.4,0.476,1639.0,30.7
3.0,120.0,18.5,25.3,0.438,540.0,27.1
2.0,30.0,6.7,8.6,0.423,1705.0,9.9
11.0,80.0,23.8,35.6,0.481,277.0,27.57
14.0,50.0,23.8,24.7,0.466,1005.0,48.3
5.0,60.0,14.2,19.5,0.434,857.0,25.6
3.0,170.0,14.3,33.7,0.4984051036682615,511.0,45.6
2.0,70.0,8.2,8.9,0.414,2573.0,16.2
15.0,110.0,33.8,47.8,0.485,304.0,54.7
13.0,30.0,24.4,32.9,0.455,330.0,28.05
6.0,250.0,25.1,63.7,0.4818097850811287,181.0,57.8
