country,temperature_min,temperature_max,temperature_mean,temperature_median,precip_mm_mean,precip_mm_median,number_of_days_with_precip_mm_gt_0,rain_days,heavy_rain_days,sun_days,partly_cloudy_days,number_of_datapoints
Mauritania,15.9,36.3,24.503762376237624,25.0,0.006574257425742575,0.0,18,18,0,407,67,505
Mauritius,20.1,33.2,26.256237623762374,25.4,0.10261386138613861,0.02,343,72,5,45,254,505
Mexico,4.3,23.0,14.59,14.8,0.053700000000000005,0.0,65,32,1,21,179,500
Micronesia,24.1,32.1,27.837103174603175,28.1,0.37807539682539687,0.03,356,83,2,0,183,504
Monaco,8.3,33.3,20.280318091451292,20.4,0.09510934393638171,0.0,119,43,5,244,200,503
Mongolia,-24.9,34.3,7.851093439363817,13.1,0.050417495029821076,0.0,94,35,4,103,253,503
Montenegro,5.0,40.2,22.099007936507935,22.25,0.17132936507936508,0.0,156,62,7,241,191,504
Morocco,12.1,35.2,21.162624254473158,21.3,0.03723658051689861,0.0,59,21,0,181,246,503
Mozambique,14.4,37.3,26.1180198019802,25.4,0.033762376237623765,0.0,114,33,1,160,302,505
Myanmar,20.0,38.4,30.25881188118812,30.1,0.525029702970297,0.05,295,122,23,68,213,505
Namibia,5.0,35.1,23.209325396825395,23.65,0.027777777777777776,0.0,37,21,2,402,79,504
Nepal,9.9,32.4,23.60436507936508,24.2,0.5901984126984127,0.08,316,148,12,35,286,504
Netherlands,-0.8,29.7,14.51309523809524,15.3,0.10027777777777777,0.0,191,106,5,142,204,504
New Zealand,5.1,21.3,13.0009900990099,13.2,0.1786732673267327,0.0,200,83,0,0,171,505
Nicaragua,19.4,31.0,24.347,24.2,0.13878000000000001,0.0,126,73,1,9,278,500
Niger,22.2,43.0,30.780555555555555,30.35,0.025575396825396828,0.0,26,38,16,292,97,504
Nigeria,20.8,39.4,28.438217821782178,28.3,0.15366336633663366,0.0,209,81,11,127,245,505
North Korea,-11.5,35.3,16.19047619047619,19.5,0.10833333333333334,0.0,106,88,0,121,68,504
Norway,-11.8,26.2,9.966071428571428,11.3,0.0830952380952381,0.0,153,65,0,153,187,504
Oman,21.0,46.0,32.59485148514852,33.0,0.0009702970297029703,0.0,4,0,0,364,130,505
Pakistan,13.9,45.0,30.09503968253968,31.5,0.11464285714285714,0.0,96,89,3,344,46,504
Palau,24.0,31.4,27.971825396825395,28.1,0.4370833333333333,0.04,359,91,8,0,278,504
Panama,22.6,30.0,25.586626746506987,25.3,0.21441117764471057,0.02,296,69,6,4,293,501
Papua New Guinea,21.3,30.4,26.52400793650794,26.4,0.42279761904761903,0.02,292,123,5,6,291,504
Paraguay,5.5,32.6,20.248214285714287,21.0,0.0793452380952381,0.0,66,46,3,148,78,504
Peru,13.7,23.6,17.1758,16.6,0.00424,0.0,146,146,0,38,208,500
Philippines,23.5,36.4,29.84166666666667,29.3,0.4423214285714286,0.05,323,126,16,31,315,504
Poland,-5.6,35.2,15.199405940594058,17.1,0.06217821782178218,0.0,113,54,3,207,201,505
Portugal,6.1,34.1,18.733399602385685,19.0,0.07371769383697813,0.0,113,31,1,207,230,503
Qatar,15.2,46.3,34.669841269841264,37.1,0.0004563492063492063,0.0,4,4,0,438,37,504
Romania,-3.7,40.2,19.57043650793651,20.75,0.036765873015873016,0.0,71,34,4,337,81,504
Russia,-10.0,32.2,13.473745173745174,15.350000000000001,0.08023166023166024,0.0,166,77,15,169,162,518
Rwanda,16.3,31.6,24.945238095238093,25.0,0.19557539682539685,0.0,232,61,7,68,373,504
Saint Kitts and Nevis,22.1,32.3,27.098608349900598,27.2,0.14123260437375748,0.02,367,182,0,8,185,503
Saint Lucia,22.3,31.2,27.289264413518886,27.1,0.14238568588469186,0.03,395,164,21,6,319,503
Saint Vincent and the Grenadines,24.5,32.0,27.58207171314741,27.55,0.15304780876494023,0.025,361,311,5,10,126,502
Samoa,19.4,29.2,25.5936,25.4,0.31972,0.07500000000000001,407,103,1,0,355,500
San Marino,4.3,33.1,19.645019920318724,20.2,0.11852589641434264,0.0,147,55,2,253,170,502
Saudi Arabia,10.1,46.3,34.308747514910536,37.4,0.0012922465208747515,0.0,9,3,1,426,51,503
Senegal,18.2,32.3,25.425346534653464,26.2,0.04685148514851485,0.0,93,32,5,258,200,505
Serbia,-2.8,40.7,19.0093253968254,19.3,0.09132936507936508,0.0,83,42,4,314,111,504
Seychelles Islands,23.1,33.4,28.66845238095238,28.3,0.11543650793650793,0.01,278,104,0,36,341,504
Sierra Leone,20.1,31.2,26.342743538767394,26.3,0.623558648111332,0.02,286,183,16,77,181,503
Singapore,23.1,33.4,29.494257425742575,29.3,0.3632871287128713,0.03,324,112,42,4,327,505
Slovakia,-2.9,35.2,16.496428571428574,17.3,0.07692460317460317,0.0,95,56,5,215,193,504
Slovenia,-3.7,34.1,16.440990099009902,17.0,0.22291089108910891,0.0,229,79,6,119,249,505
Solomon Islands,23.4,31.2,26.645544554455444,26.4,0.31693069306930693,0.05,334,173,6,2,274,505
Somalia,24.1,33.3,28.900198412698415,29.1,0.030515873015873014,0.0,199,51,0,85,363,504
South Africa,8.1,34.2,21.489702970297028,21.4,0.05417821782178218,0.0,63,30,0,425,41,505
South Korea,-10.9,36.4,18.27063492063492,21.1,0.11486111111111111,0.0,117,49,1,80,124,504
Spain,2.0,38.7,18.88095238095238,18.3,0.039940476190476186,0.0,69,24,1,329,114,504
Sri Lanka,24.2,33.4,29.979960317460318,30.2,0.47757936507936505,0.21,414,114,3,20,335,504
Sudan,20.5,44.2,31.469146825396827,30.9,0.02304563492063492,0.0,48,41,0,826,120,1008
Suriname,20.1,32.0,24.644532803180915,24.2,0.1750099403578529,0.01,272,107,0,44,237,503
Swaziland,9.7,37.2,22.27614314115308,22.1,0.04797216699801193,0.0,120,62,1,269,162,503
Sweden,-7.0,28.2,12.651785714285714,14.149999999999999,0.06099206349206349,0.0,142,49,1,194,204,504
Switzerland,-6.8,32.6,14.103065134099618,14.2,0.1624712643678161,0.0,232,74,3,165,220,522
Syria,2.1,42.3,25.64393638170974,27.1,0.008489065606361828,0.0,30,19,0,395,70,503
Tajikistan,-5.2,43.2,25.26388888888889,28.2,0.031785714285714285,0.0,128,68,1,260,108,504
Tanzania,19.0,33.3,26.283762376237622,26.4,0.05388118811881188,0.0,96,49,0,213,240,505
Thailand,22.3,39.3,30.851241310824232,31.1,0.2699304865938431,0.0,467,206,28,138,582,1007
Timor-Leste,21.7,28.9,26.063220675944333,26.3,0.3248508946322068,0.02,313,312,10,75,20,503
Tonga,16.1,27.8,23.150793650793652,23.15,0.14714285714285713,0.02,331,108,2,0,343,504
Trinidad and Tobago,21.1,32.0,25.65427435387674,25.3,0.23986083499005964,0.0,245,113,5,5,243,503
Tunisia,11.1,40.6,24.850597609561753,26.0,0.020219123505976096,0.0,80,24,0,170,304,502
Turkey,-3.0,40.3,20.679642502482622,22.0,0.051350546176762664,0.0,182,67,21,484,424,1007
Turkmenistan,0.1,42.5,25.70059523809524,28.7,0.0223015873015873,0.0,71,24,3,231,198,504
Tuvalu,25.1,30.4,28.67148514851485,29.1,0.38095049504950496,0.04,359,95,4,0,351,505
Uganda,18.1,32.8,26.071626984126986,26.2,0.14007936507936508,0.0,198,131,7,134,230,504
Ukraine,-5.5,37.2,16.24772277227723,18.5,0.05528712871287129,0.0,112,89,0,211,116,505
United Arab Emirates,20.4,46.4,34.412871287128716,36.0,0.00019801980198019803,0.0,3,2,0,438,50,505
United Kingdom,-1.9,32.8,14.09165009940358,14.4,0.07777335984095426,0.0,155,69,2,115,236,503
United States of America,-2.8,26.1,9.327054108216432,9.6,0.04080160320641282,0.0,33,29,0,42,105,499
Uruguay,0.3,27.2,13.368253968253969,13.3,0.09077380952380952,0.0,104,49,13,139,143,504
Uzbekistan,-3.6,42.3,24.923762376237622,28.3,0.022871287128712874,0.0,33,17,0,383,58,505
Vanuatu,17.1,28.4,24.08650793650794,24.2,0.22916666666666666,0.02,315,112,11,0,320,504
Vatican City,5.0,37.7,21.883168316831682,22.1,0.06596039603960396,0.0,109,41,3,297,157,505
Venezuela,15.2,31.0,23.339043824701196,24.2,0.1052988047808765,0.0,145,57,2,88,126,502
Vietnam,11.6,40.0,27.275655021834062,28.0,0.3256877729257642,0.0,434,320,33,180,191,916
Yemen,16.2,29.4,23.916666666666668,23.9,0.053492063492063494,0.0,108,93,1,321,55,504
Zambia,14.0,37.4,25.247326732673265,24.9,0.09306930693069307,0.0,122,113,0,340,40,505
Zimbabwe,10.2,34.8,24.008151093439366,24.2,0.07713717693836977,0.0,101,97,0,366,31,503
