tree_type,age,average_height,dbh,trees_per_ha,basal_area
coniferous,90.0,19.0,25.2,923.0,46.0
coniferous,100.0,20.6,27.4,813.0,47.8
coniferous,110.0,22.1,29.3,731.0,49.3
coniferous,120.0,23.4,31.0,669.0,50.5
coniferous,130.0,24.5,32.5,622.0,51.5
coniferous,140.0,25.5,33.7,586.0,52.3
coniferous,150.0,26.5,34.7,560.0,52.9
coniferous,30.0,4.5,6.4,4703.0,15.0
coniferous,40.0,6.8,9.7,3042.0,22.7
coniferous,50.0,9.1,12.9,2206.0,28.8
coniferous,60.0,11.3,15.8,1707.0,33.6
coniferous,70.0,13.3,18.6,1382.0,37.4
coniferous,80.0,15.1,21.1,1158.0,40.4
coniferous,90.0,16.8,23.4,997.0,42.8
coniferous,100.0,18.3,25.5,878.0,44.7
coniferous,110.0,19.7,27.3,788.0,46.2
coniferous,120.0,20.9,29.0,720.0,47.5
coniferous,130.0,22.0,30.4,668.0,48.5
coniferous,140.0,23.0,31.6,628.0,49.4
coniferous,150.0,23.9,32.7,598.0,50.1
coniferous,40.0,5.8,8.6,3190.0,18.6
coniferous,50.0,7.7,11.6,2336.0,24.7
coniferous,60.0,9.6,14.4,1822.0,29.5
coniferous,70.0,11.4,17.0,1483.0,33.4
coniferous,80.0,13.0,19.3,1247.0,36.6
coniferous,90.0,14.5,21.5,1075.0,39.1
coniferous,100.0,15.9,23.5,948.0,41.1
coniferous,110.0,17.2,25.3,851.0,42.8
coniferous,120.0,18.3,26.9,777.0,44.2
coniferous,130.0,19.4,28.3,720.0,45.3
coniferous,140.0,20.3,29.5,676.0,46.3
coniferous,150.0,21.2,30.6,642.0,47.1
coniferous,40.0,4.7,7.5,3247.0,14.4
coniferous,50.0,6.4,10.3,2418.0,20.1
coniferous,60.0,8.0,12.9,1911.0,24.9
coniferous,70.0,9.6,15.3,1570.0,28.9
coniferous,80.0,11.0,17.6,1329.0,32.2
coniferous,90.0,12.3,19.6,1152.0,34.9
coniferous,100.0,13.6,21.5,1019.0,37.1
coniferous,110.0,14.7,23.3,917.0,38.9
coniferous,120.0,15.8,24.8,837.0,40.4
coniferous,130.0,16.7,26.2,776.0,41.7
coniferous,140.0,17.6,27.4,727.0,42.8
coniferous,150.0,18.4,28.4,690.0,43.7
coniferous,40.0,3.8,6.4,3156.0,10.2
coniferous,50.0,5.2,9.0,2410.0,15.3
coniferous,60.0,6.5,11.4,1943.0,19.9
coniferous,80.0,9.0,15.8,1389.0,27.1
coniferous,90.0,10.2,17.7,1214.0,29.9
coniferous,100.0,11.3,19.5,1081.0,32.3
coniferous,110.0,12.3,21.2,976.0,34.3
coniferous,120.0,13.2,22.6,894.0,36.0
coniferous,130.0,14.1,24.0,830.0,37.4
coniferous,140.0,14.8,25.2,778.0,38.7
coniferous,150.0,15.6,26.2,738.0,39.7
coniferous,20.0,7.4,8.5,4133.0,23.1
coniferous,30.0,13.2,13.1,2359.0,32.0
coniferous,40.0,18.5,17.7,1596.0,39.3
coniferous,50.0,23.1,22.1,1194.0,45.8
coniferous,60.0,27.0,26.3,944.0,51.4
coniferous,70.0,30.1,30.4,772.0,56.1
coniferous,80.0,32.8,34.4,645.0,59.8
coniferous,90.0,35.1,38.2,546.0,62.8
coniferous,100.0,36.8,42.1,466.0,65.0
coniferous,110.0,38.2,45.9,401.0,66.5
coniferous,120.0,39.4,49.7,348.0,67.5
coniferous,20.0,7.0,8.2,4212.0,22.1
coniferous,30.0,12.7,12.7,2442.0,31.1
coniferous,40.0,17.8,17.2,1662.0,38.5
coniferous,50.0,22.4,21.4,1243.0,44.8
coniferous,60.0,26.1,25.5,980.0,50.3
coniferous,70.0,29.2,29.5,799.0,54.8
coniferous,80.0,31.8,33.4,665.0,58.5
coniferous,90.0,34.0,37.3,561.0,61.2
coniferous,100.0,35.7,41.0,479.0,63.3
coniferous,110.0,37.1,44.7,411.0,64.6
coniferous,120.0,38.2,48.5,355.0,65.6
coniferous,20.0,6.6,7.9,4292.0,20.9
coniferous,30.0,12.1,12.3,2532.0,30.0
coniferous,40.0,17.1,16.6,1734.0,37.5
coniferous,50.0,21.5,20.7,1297.0,43.8
coniferous,60.0,25.2,24.7,1021.0,49.1
coniferous,70.0,28.2,28.6,830.0,53.5
coniferous,80.0,30.8,32.4,689.0,57.0
coniferous,90.0,32.9,36.2,580.0,59.6
coniferous,100.0,34.5,39.9,493.0,61.5
coniferous,110.0,35.9,43.5,422.0,62.9
coniferous,120.0,37.0,47.2,364.0,63.6
coniferous,20.0,6.2,7.6,4375.0,19.6
coniferous,30.0,11.5,11.8,2625.0,28.8
coniferous,40.0,16.3,16.0,1809.0,36.3
coniferous,50.0,20.6,20.0,1355.0,42.6
coniferous,60.0,24.2,23.9,1065.0,47.8
coniferous,70.0,27.1,27.7,864.0,52.1
coniferous,80.0,29.6,31.4,715.0,55.4
coniferous,90.0,31.7,35.1,599.0,57.9
coniferous,100.0,33.3,38.7,508.0,59.7
coniferous,110.0,34.6,42.2,434.0,60.9
coniferous,120.0,35.7,45.8,374.0,61.6
coniferous,20.0,5.8,7.2,4467.0,18.3
coniferous,30.0,10.8,11.3,2731.0,27.5
