tree_type,age,average_height,dbh,trees_per_ha,basal_area
coniferous,110.0,34.05777032325471,43.17266889940672,426.0,62.362398289597
coniferous,120.0,36.02791464374621,46.16298556373336,376.0,62.93825479523743
coniferous,30.0,10.083270439499248,10.815384599721757,4526.0,41.586301091823046
coniferous,40.0,14.352963772274055,15.455069811852674,2533.0,47.533952789299725
coniferous,50.0,18.346359231521724,20.2551040177423,1619.0,52.19226309523663
coniferous,60.0,21.998916745076368,24.979136973174075,1136.0,55.71392360895916
coniferous,70.0,25.308746228772232,29.496126846428883,853.0,58.3286315040279
coniferous,80.0,28.298481356927603,33.74318283105044,673.0,60.25152715505919
coniferous,90.0,30.998943996785503,37.698085891737726,552.0,61.65694976162881
coniferous,100.0,33.44202291307732,41.36151650374545,466.0,62.67803641383178
coniferous,110.0,35.65769163383936,44.74625101452258,403.0,63.41388776394825
coniferous,120.0,37.67292444567454,47.87082487279808,355.0,63.937551034062565
coniferous,50.0,4.553479413840158,11.93270322113462,1437.0,16.075818182313384
coniferous,60.0,5.6499962226809215,14.003138338641886,1356.0,20.887730315622743
coniferous,70.0,6.828950257568697,15.874977036811782,1272.0,25.19471251941568
coniferous,80.0,8.075687053397838,17.589622527000767,1190.0,28.937761053218072
coniferous,90.0,9.36962808231886,19.183168598377677,1112.0,32.14624748809971
coniferous,100.0,10.691584568825231,20.684006335241502,1038.0,34.883468563347655
coniferous,110.0,12.025688020206976,22.113332982963733,969.0,37.2191193135206
coniferous,120.0,13.359502850194264,23.48651358622761,905.0,39.21749146297345
coniferous,130.0,14.683578397074784,24.814481905404275,846.0,40.93361247991545
coniferous,140.0,15.990890895078245,26.104918169895782,792.0,42.412952742662185
coniferous,150.0,17.276328560209937,27.36316093253508,742.0,43.69250597418856
coniferous,160.0,18.536261610787957,28.592885260821397,697.0,44.80223221401916
coniferous,170.0,19.76819862352258,29.796596608922517,656.0,45.7664429240492
coniferous,180.0,20.970517659865425,30.97598631964357,618.0,46.604983614117934
coniferous,190.0,22.142258076020347,32.13218578349498,583.0,47.33418934686426
coniferous,200.0,23.282960094515136,33.265947286436315,551.0,47.9676349927458
coniferous,210.0,24.39254140256869,34.37777213459252,522.0,48.516715728199244
coniferous,220.0,25.471202252075784,35.46800095490169,495.0,48.991093249883264
coniferous,230.0,26.519352440219293,36.53687688266542,471.0,49.39903830381837
coniferous,240.0,27.53755508512308,37.58458932058942,448.0,49.74769420483113
coniferous,250.0,28.526483309441257,38.61130378520466,427.0,50.04328054630364
coniferous,50.0,5.424110098351814,13.428933650361149,1636.0,23.180735775983088
coniferous,60.0,6.839043476745688,15.54347626235207,1482.0,28.134445181522363
coniferous,70.0,8.344255546129327,17.469961090664448,1344.0,32.21651203147194
coniferous,80.0,9.9030242733518,19.262076209132115,1220.0,35.55735441769744
coniferous,90.0,11.485019525416202,20.957342433785275,1110.0,38.29939019743564
coniferous,100.0,13.067547935621604,22.58074017889754,1012.0,40.56495373282346
coniferous,110.0,14.634388082969302,24.14843803248897,926.0,42.450637437034125
coniferous,120.0,16.174293594409445,25.670683158145955,850.0,44.03037161689893
coniferous,130.0,17.67969932150871,27.153838339631573,783.0,45.36035787498484
coniferous,140.0,19.14571822482629,28.601761197285064,723.0,46.48357222131237
coniferous,150.0,20.56939514616854,30.016721056788544,670.0,47.43329850608093
coniferous,160.0,21.949160897905003,31.400002776160605,622.0,48.23573544267431
coniferous,170.0,23.2844353179955,32.75230179132135,580.0,48.91186882027393
coniferous,180.0,24.57533898553028,34.07398063208835,542.0,49.47880240510056
coniferous,190.0,25.822483654545167,35.365233615703005,508.0,49.95070343785223
coniferous,200.0,27.026819666460455,36.62619067797991,477.0,50.33947799687483
coniferous,210.0,28.18952469380158,37.856980901764025,450.0,50.655258111815535
coniferous,220.0,29.311922571736577,39.0577694468265,424.0,50.90675766827267
coniferous,230.0,30.39542412242251,40.22877705162578,402.0,51.101536478585885
coniferous,240.0,31.44148412131485,41.37028826203092,381.0,51.24619961595729
coniferous,250.0,32.45157015620353,42.48265252359827,362.0,51.34655067184534
coniferous,50.0,6.305269731934355,14.42787092124965,1780.0,29.116144951869977
coniferous,60.0,8.030353079048435,16.6021606618223,1558.0,33.7465256500614
coniferous,70.0,9.83159042382681,18.622642337727637,1372.0,37.385398052858335
coniferous,80.0,11.661851370493093,20.539844370309613,1215.0,40.274302213064125
coniferous,90.0,13.487939768245496,22.384066965101027,1082.0,42.597124032201215
coniferous,100.0,15.287606137859836,24.17272756438151,969.0,44.48564771580396
coniferous,110.0,17.04645294078594,25.915391686012477,872.0,46.0333171240615
coniferous,120.0,18.755541844824517,27.61696762363858,789.0,47.30719157129077
coniferous,130.0,20.40968469119589,29.279679020568828,718.0,48.35652461473673
coniferous,140.0,22.006254327404527,30.90426800916012,656.0,49.21852127549799
coniferous,150.0,23.54436323862145,32.490722279854296,602.0,49.9221088082249
coniferous,160.0,25.02429619682228,34.038708557907285,554.0,50.49039446589041
coniferous,170.0,26.447117291626466,35.54782485005591,513.0,50.94227717623646
coniferous,180.0,27.814396870154845,37.017740802235664,476.0,51.293518649793
coniferous,190.0,29.128021336773656,38.44826924442409,444.0,51.55746900337258
coniferous,200.0,30.390060563524028,39.839395871437816,415.0,51.7455702796548
coniferous,210.0,31.60267560808485,41.19128400662744,389.0,51.86771572999146
coniferous,220.0,32.76805479723018,42.50426512425839,366.0,51.93251410376163
coniferous,230.0,33.88836987108078,43.77882183500199,345.0,51.94749023413559
coniferous,240.0,34.96574636937241,45.01556750419646,326.0,51.919241941674514
coniferous,250.0,36.002244153630826,46.21522504672369,309.0,51.85356618695492
coniferous,30.0,3.5324232330929672,9.71526830633166,2612.0,19.36387386983685
coniferous,40.0,5.111165883393311,12.475929170834464,2185.0,26.71474737839497
coniferous,50.0,6.898262205331065,14.912275073253427,1854.0,32.38939657630802
coniferous,60.0,8.817410042220237,17.144361934260424,1590.0,36.71815712526927
coniferous,70.0,10.797890588493065,19.24878289240858,1376.0,40.0613958066063
coniferous,80.0,12.789417286787772,21.26954616790528,1201.0,42.68944733132868
coniferous,90.0,14.75884443769722,23.230393976239498,1056.0,44.78723677740812
coniferous,100.0,16.685189074706958,25.143256585787825,936.0,46.47942316533251
coniferous,110.0,18.555704030893672,27.013421561865847,834.0,47.85152260460013
coniferous,120.0,20.363135017359145,28.842581166643942,749.0,48.96414298379565
coniferous,130.0,22.103869953550337,30.630603975275157,676.0,49.86193171863288
coniferous,140.0,23.77670045523194,32.37655334688487,614.0,50.57907719436096
coniferous,150.0,25.38199195947264,34.07926174756014,560.0,51.142686733934525
coniferous,160.0,26.92112526488498,35.73764243316876,514.0,51.57488239783958
coniferous,170.0,28.39611901053839,37.35084584464903,473.0,51.89412631582076
coniferous,180.0,29.809373628846245,38.91832487461881,438.0,52.11608159142455
coniferous,190.0,31.163497505070566,40.439847704520325,406.0,52.25419090242668
coniferous,200.0,32.4611892041737,41.91548167773725,379.0,52.320081220738935
coniferous,210.0,33.70515820338307,43.34556242619293,354.0,52.32385940594487
coniferous,220.0,34.89807222048076,44.7306567871025,332.0,52.27433754559393
coniferous,230.0,36.04252298776654,46.07152452928931,312.0,52.17921155101299
coniferous,240.0,37.1410048481757,47.36908172426762,295.0,52.04520737732086
coniferous,250.0,38.195902264493824,48.62436724492391,279.0,51.87820378719899
coniferous,30.0,3.854290610291897,10.164439094273847,2932.0,23.79234281793121
coniferous,40.0,5.686239691616244,12.939015221781922,2355.0,30.972944959886444
coniferous,50.0,7.745031548013067,15.435121625052062,1935.0,36.22121864701063
coniferous,60.0,9.921376860051984,17.7739732571122,1617.0,40.12336337695953
coniferous,70.0,12.134901056699542,20.021258225756934,1369.0,43.10469262383111
coniferous,80.0,14.333880844468505,22.20916310761896,1172.0,45.43445263413154
coniferous,90.0,16.486638703590014,24.351569984249107,1015.0,47.28065238779192
coniferous,100.0,18.5745699502189,26.45283062794526,887.0,48.75143528709684
coniferous,110.0,20.58744505247666,28.512613475289683,781.0,49.92010153509801
coniferous,120.0,22.52037567174918,30.52854393978723,694.0,50.83933392215439
coniferous,130.0,24.371868254759388,32.497621610148265,621.0,51.54916259353229
coniferous,140.0,26.142570014164843,34.416956091095955,559.0,52.08144310385794
coniferous,150.0,27.834455275509494,36.28412112384012,507.0,52.46241572161013
coniferous,160.0,29.45029407352296,38.09729538986943,462.0,52.71421000530643
coniferous,170.0,30.99330355620892,39.855286217306265,423.0,52.855767307136425
coniferous,180.0,32.466919065578,41.55749179292364,390.0,52.90343937831393
coniferous,190.0,33.87464433906191,43.203834102708186,360.0,52.871404028202186
coniferous,200.0,35.21995445672661,44.79468110944782,334.0,52.7719747052824
coniferous,210.0,36.5062341785614,46.33076852853237,312.0,52.61584585329124
coniferous,220.0,37.736740126462806,47.81312669818987,291.0,52.41229682600009
coniferous,230.0,38.91457905592991,49.24301514647664,273.0,52.16936682976579
coniferous,240.0,40.04269696468575,50.62186576181783,257.0,51.89400784607086
coniferous,30.0,4.199299480524747,10.45366838503095,3241.0,27.819812072318317
coniferous,40.0,6.29648852283213,13.253750705362211,2505.0,34.56864251843756
coniferous,50.0,8.621424572773762,15.836884229581315,1997.0,39.349659501654
coniferous,60.0,11.042507873405356,18.31223009676844,1628.0,42.87767457940265
coniferous,70.0,13.47457883051681,20.729705443561976,1350.0,45.57340177185321
coniferous,80.0,15.8666599098667,23.10828412411833,1136.0,47.67625874905467
coniferous,90.0,18.189480562786407,25.45183337218277,969.0,49.32817594815867
coniferous,100.0,20.42716873914281,27.7573674817217,836.0,50.61978727106649
coniferous,110.0,22.57208975507575,30.019286838248902,729.0,51.61418055268623
coniferous,120.0,24.621668913594675,32.23152146861279,641.0,52.35891865214543
coniferous,130.0,26.5764221435242,34.38856720365014,569.0,52.8921396311712
coniferous,140.0,28.43872288544264,36.48593021118507,509.0,53.2456971507288
coniferous,150.0,30.212022800119485,38.52025649713121,458.0,53.446828329251495
coniferous,160.0,31.900356145511587,40.48929838982692,415.0,53.51909330134912
coniferous,170.0,33.5080239098698,42.39180278273261,378.0,53.48295707259658
coniferous,180.0,35.039393252382,44.2273684295135,347.0,53.35619602948562
coniferous,190.0,36.49877166185686,45.99629818478715,319.0,53.15421683176925
coniferous,200.0,37.8903299020974,47.69945970060305,295.0,52.89032833939413
coniferous,210.0,39.21805696222757,49.33816091500876,274.0,52.575984347329225
coniferous,30.0,4.5746744967042,10.611076269672491,3541.0,31.3211598224855
coniferous,40.0,6.941673990487552,13.45732679498962,2638.0,37.529432172001904
coniferous,50.0,9.52540887543836,16.15536102585221,2043.0,41.88981869442437
coniferous,60.0,12.17997633788542,18.79409865321554,1626.0,45.12923742642502
coniferous,70.0,14.818704354426286,21.40546936398224,1323.0,47.61925973187452
coniferous,80.0,17.392678462349654,23.99485892034201,1095.0,49.55696042702543
coniferous,90.0,19.875521412537168,26.556231455230453,921.0,51.05748843010659
coniferous,100.0,22.254217513008197,29.07949031664567,785.0,52.19702179972777
coniferous,110.0,24.52369248701696,31.554026001518235,678.0,53.03225125349286
coniferous,120.0,26.6835857260298,33.97034951673168,591.0,53.609142042739904
coniferous,130.0,28.736301438488784,36.32074352902077,520.0,53.96685158494054
coniferous,140.0,30.685816743233325,38.599408919731104,462.0,54.13949432534078
coniferous,150.0,32.53694582864001,40.80236066256096,414.0,54.15698339944219
coniferous,160.0,34.29488366354787,42.92721094699816,373.0,54.04550234181292
coniferous,170.0,35.96492368437739,44.97291449683403,338.0,53.82784586201109
coniferous,180.0,37.55228512035245,46.939515739178034,309.0,53.52372420001383
coniferous,190.0,39.06201006987517,48.827917397324505,283.0,53.150061357045566
coniferous,30.0,4.978262613624875,10.66082080664066,3831.0,34.200845550279666
coniferous,40.0,7.611803370876555,13.57640663394275,2755.0,39.8851774899315
coniferous,50.0,10.443422644633875,16.41363376161969,2075.0,43.92390270926992
coniferous,60.0,13.318886873909078,19.23723137370667,1616.0,46.972253067433904
coniferous,70.0,16.15215865911321,22.06060742079123,1290.0,49.33134488003388
coniferous,80.0,18.89711731608552,24.875688290705508,1052.0,51.15472238541069
coniferous,90.0,21.530458584864355,27.66672569357812,873.0,52.535016523268645
coniferous,100.0,24.041984703274764,30.41669735102447,736.0,53.5390445049462
coniferous,110.0,26.42906179961137,33.11018725414191,629.0,54.221651219947056
coniferous,120.0,28.693400171885543,35.73452465731337,544.0,54.63087511636334
coniferous,130.0,30.839151036663495,38.28004824519231,476.0,54.809685471550765
coniferous,140.0,32.87176598597497,40.73994237095361,420.0,54.79648335240356
coniferous,150.0,34.79730787611501,43.10988409271453,374.0,54.62525700721172
coniferous,160.0,36.622034005528526,45.387629292331646,335.0,54.325722532213575
coniferous,170.0,38.35214613369768,47.57260487718261,303.0,53.9235446485329
coniferous,180.0,39.993643984473394,49.665539380770575,275.0,53.44063993794428
coniferous,30.0,5.41896085325652,10.625135185721415,4117.0,36.50678876277608
coniferous,40.0,8.318473982246024,13.634531942208886,2859.0,41.75427368875887
coniferous,50.0,11.39224467099998,16.635340262306368,2097.0,45.58556830538927
coniferous,60.0,14.481856554319997,19.666245056595432,1597.0,48.53413716398265
coniferous,70.0,17.503295465756025,22.721828911890924,1253.0,50.82413641578598
coniferous,80.0,20.413668695184416,25.78037539934148,1007.0,52.56983261083419
coniferous,90.0,23.19282527775128,28.816240619392836,825.0,53.84749157378455
coniferous,100.0,25.83333266341109,31.80536570350785,688.0,54.72030276686253
coniferous,110.0,28.33489972540937,34.72753368618714,583.0,55.24600878992732
coniferous,120.0,30.701201721394085,37.56701422225888,500.0,55.47840579234448
coniferous,130.0,32.93803764571895,40.312415545056986,434.0,55.46699327885108
coniferous,140.0,35.05224643188252,42.956177141710775,381.0,55.25636048762161
coniferous,150.0,37.05106561305581,45.493936821088425,337.0,54.88581793149421
coniferous,160.0,38.94175312633456,47.92389521369258,301.0,54.389360703710295
coniferous,30.0,5.885261165462734,10.523111052878535,4393.0,38.20975292251215
coniferous,40.0,9.042096629700035,13.646296786713588,2951.0,43.1643960984245
coniferous,50.0,12.346808983280054,16.828060716711352,2109.0,46.911844848647256
coniferous,60.0,15.639789776977883,20.08123339341515,1573.0,49.84595939599113
coniferous,70.0,18.839856626864577,23.38180596337056,1213.0,52.11935981655103
coniferous,80.0,21.90747235619812,26.694345820025465,961.0,53.81540515585172
coniferous,90.0,24.825543737243425,29.9831533700457,778.0,55.001510595166366
coniferous,100.0,27.58924264721072,33.217049631899656,643.0,55.74332129465343
coniferous,110.0,30.20045327028904,36.37106682952955,540.0,56.10615570270824
coniferous,120.0,32.66466325924933,39.42659018248682,459.0,56.15299331242269
coniferous,130.0,34.98918820275575,42.37076124285711,396.0,55.94223246545123
coniferous,140.0,37.18214484242198,45.19558587960924,346.0,55.5261715695861
coniferous,150.0,39.251855319516736,47.89698649052011,304.0,54.95031861757539
coniferous,30.0,6.375724029089045,10.371675341898154,4661.0,39.38012887715659
coniferous,40.0,9.781087413884944,13.625062637086824,3031.0,44.20019889593722
coniferous,50.0,13.306814937117723,17.002099843967166,2113.0,47.97789738562242
coniferous,60.0,16.794081333413512,20.49044389747249,1545.0,50.96982987390744
coniferous,70.0,20.16496734590905,24.047472152920232,1172.0,53.26731398122328
coniferous,80.0,23.383275024670542,27.623643699579027,916.0,54.932031555161885
coniferous,90.0,26.43482095475628,31.172814130058107,734.0,56.03005874557468
coniferous,100.0,29.31720709246311,34.656472381582475,600.0,56.63542118018904
coniferous,110.0,32.03432936649788,38.04489723721541,499.0,56.82549270438114
coniferous,120.0,34.59334701906179,41.31675838669424,422.0,56.67562937388143
coniferous,130.0,37.00297605016341,44.45801119602917,362.0,56.25523675270107
coniferous,140.0,39.27251730830247,47.46056302632498,314.0,55.62557267688416
coniferous,30.0,6.883666346969937,10.185948320841604,4919.0,40.08684987267564
coniferous,40.0,10.526681865378242,13.58092574344901,3101.0,44.92640042210024
coniferous,50.0,14.26261327212238,17.16296620167669,2110.0,48.833674985647626
coniferous,60.0,17.93466549256092,20.89541230731,1514.0,51.94221608735327
coniferous,70.0,21.46833689040757,24.716807936739805,1131.0,54.29406279285712
coniferous,80.0,24.83063399788972,28.56293406709397,872.0,55.93832557271655
coniferous,90.0,28.010080185274617,32.37671966647558,691.0,56.94689901294085
coniferous,100.0,31.00650702797684,36.11208940102883,560.0,57.4077705217856
coniferous,110.0,33.82564726329277,39.73458943661991,463.0,57.4145000077184
coniferous,120.0,36.47618745401452,43.22038370170597,388.0,57.05764264861256
coniferous,130.0,38.96812858157436,46.55456201556689,331.0,56.41933993116889
coniferous,30.0,7.404932765425551,9.977590657367736,5168.0,40.41109926384212
coniferous,40.0,11.274520688088064,13.521441015931778,3162.0,45.40607236310607
coniferous,50.0,15.210317477637266,17.315105863188293,2103.0,49.52511959413346
coniferous,60.0,19.058293305228844,21.298218170324684,1481.0,52.796507043373694
coniferous,70.0,22.74735057388873,25.389946741587124,1090.0,55.22417443760036
coniferous,80.0,26.24750592889057,29.51060718647664,831.0,56.85284209946677
coniferous,90.0,29.549766653917622,33.591613266098065,651.0,57.766811954893605
coniferous,100.0,32.65599044329134,37.57906724459863,523.0,58.07323627584375
coniferous,110.0,35.57357661253908,41.433823317002094,429.0,57.88565816903825
coniferous,120.0,38.31260298684133,45.1297863675299,358.0,57.31231321620316
coniferous,30.0,7.935655820257015,9.755605776637015,5408.0,40.428872118629705
coniferous,40.0,12.020847848055263,13.45209656652903,3214.0,45.69182348037061
coniferous,50.0,16.146689368989875,17.461438034587037,2091.0,50.08830228756808
coniferous,60.0,20.16230821189485,21.699805555213494,1448.0,53.557927330662864
coniferous,70.0,23.999894184395338,26.066161779893672,1050.0,56.07576360843159
coniferous,80.0,27.632246937190484,30.464398280507098,791.0,57.68918447602674
coniferous,90.0,31.05262688810475,34.81375660966744,614.0,58.50090434660536
coniferous,100.0,34.264716827708504,39.05225967995756,489.0,58.6420720755206
coniferous,110.0,37.27741959713557,43.13614613391005,398.0,58.249674595272296
coniferous,50.0,4.879652996831278,9.726899345859904,1884.0,14.00111768381496
coniferous,60.0,6.34305800192475,12.406553208896536,1226.0,14.82715242199364
coniferous,70.0,7.637278198643885,14.788685645855557,1044.0,17.949543332760953
coniferous,80.0,8.86152760439109,16.880922757060247,994.0,22.249768184906923
coniferous,90.0,10.077893160470024,18.704968693380785,983.0,27.01472548816015
coniferous,100.0,11.312851789898508,20.31157690194394,978.0,31.71050662853333
coniferous,110.0,12.5707973968191,21.765463215588365,967.0,35.99988296680431
coniferous,120.0,13.8454181982578,23.12808387420757,945.0,39.73049252629559
coniferous,130.0,15.12680511198587,24.44757982444951,913.0,42.88008209776772
coniferous,140.0,16.405092271950842,25.756100270276537,873.0,45.49634990863769
coniferous,150.0,17.67192563949655,27.071523014817373,827.0,47.65372088345824
coniferous,160.0,18.92079542157195,28.400819189700464,780.0,49.42956453728731
coniferous,170.0,20.14687633441525,29.74347824967198,732.0,50.89403409089474
coniferous,180.0,21.346714512648028,31.09434832678845,686.0,52.107275826884525
coniferous,190.0,22.517913090516988,32.44575721428932,642.0,53.11983290374686
coniferous,200.0,23.6588704157187,33.788990473755,601.0,53.974043092413694
coniferous,210.0,24.76857989883351,35.11526224950008,564.0,54.70548212704005
coniferous,220.0,25.846483290365168,36.4163111489544,531.0,55.34414843062052
coniferous,230.0,26.892364884760152,37.68473083726305,501.0,55.91536114875365
coniferous,240.0,27.906275073043155,38.914119907360174,474.0,56.44043365152554
coniferous,250.0,28.88847417013148,40.09911370753056,450.0,56.937194992716
coniferous,50.0,6.079563912565715,12.003293418039478,1465.0,16.582608148229067
coniferous,60.0,7.613030192694393,14.75819368388821,1190.0,20.359397308284368
coniferous,70.0,9.067556645947413,17.09143937066597,1118.0,25.670877694471542
coniferous,80.0,10.526282933672208,19.06761839115052,1096.0,31.30134620590245
coniferous,90.0,12.013607153198288,20.792627087528064,1074.0,36.4971782753131
coniferous,100.0,13.523960289975973,22.37601247655291,1040.0,40.92216262048043
coniferous,110.0,15.04176664246238,23.90261914540694,992.0,44.5293958834871
coniferous,120.0,16.551166851614365,25.424881556849545,933.0,47.41059943779993
coniferous,130.0,18.03941522231686,26.967494342748385,870.0,49.69628336837428
coniferous,140.0,19.497326879505216,28.53575221524905,805.0,51.51027859481957
coniferous,150.0,20.91869210593042,30.123188526092317,743.0,52.956364430216176
coniferous,160.0,22.299513226759217,31.717245678000037,684.0,54.11833248271392
coniferous,170.0,23.637360019295727,33.30304661944107,632.0,55.06374568743035
coniferous,180.0,24.930899815792245,34.86570517446151,584.0,55.84764357229403
coniferous,190.0,26.1795764302285,36.39161550435239,543.0,56.515268700040735
coniferous,200.0,27.383395562792,37.869068279505136,506.0,57.10390104418711
coniferous,210.0,28.54278016035721,39.288444840694645,475.0,57.64410714677606
coniferous,220.0,29.65846974164898,40.64216305140871,448.0,58.16066243396462
coniferous,230.0,30.731446936146195,41.924490812830825,425.0,58.67330528154795
coniferous,240.0,31.76288110251427,43.131301756660925,405.0,59.19740129394605
coniferous,250.0,32.75408315427384,44.25981865180699,388.0,59.74454783317453
coniferous,50.0,6.981247961940398,13.648348448137233,1400.0,20.493217393689683
coniferous,60.0,8.657396493702949,16.361697291746683,1247.0,26.22668210637653
coniferous,70.0,10.32815835745117,18.59506954719913,1199.0,32.57810242023234
coniferous,80.0,12.035160264908448,20.508852918786538,1160.0,38.352959086245896
coniferous,90.0,13.769318183928256,22.26615737211393,1106.0,43.098072659303504
coniferous,100.0,15.507201767347391,23.98359716873573,1036.0,46.813802340463965
coniferous,110.0,17.22694491361825,25.723188851524235,955.0,49.672182525600405
coniferous,120.0,18.91248413126343,27.505234170435628,872.0,51.86480916700661
coniferous,130.0,20.553238276053577,29.32439677061991,792.0,53.55280018427593
coniferous,140.0,22.14268271302124,31.16224810105783,719.0,54.86211208299877
coniferous,150.0,23.67704019348333,32.995466836816185,653.0,55.89113003801147
coniferous,160.0,25.154352496112107,34.8006421289494,596.0,56.71828394137345
coniferous,170.0,26.573884723821063,36.55678080676143,546.0,57.40710696855418
coniferous,180.0,27.93575508703038,38.24637326405855,504.0,58.00921523609016
coniferous,190.0,29.240701044520627,39.85561107707207,469.0,58.5661330255803
coniferous,200.0,30.48992325465825,41.37414716853326,439.0,59.1106110243463
coniferous,210.0,31.684973252029188,42.79464518980086,414.0,59.66775986106602
coniferous,220.0,32.827666559474274,44.11226560609644,394.0,60.25611144054214
coniferous,230.0,33.92001199793996,45.3241699935442,377.0,60.88862020281548
coniferous,240.0,34.96415268839127,46.42908303279858,363.0,61.57358371958503
coniferous,250.0,35.9623164997836,47.42692637136569,352.0,62.31546169057391
coniferous,30.0,3.462951839095532,7.0747055316458685,5532.0,21.748138091316637
coniferous,40.0,5.635655479963289,11.238293959961194,1914.0,18.99047434365725
coniferous,50.0,7.523049504788851,14.536247897844168,1412.0,23.44939988105116
coniferous,60.0,9.3233862588448,17.190883243455215,1295.0,30.070207087324498
coniferous,70.0,11.15145751613315,19.373507483857964,1242.0,36.63710978476024
coniferous,80.0,13.0202414255706,21.30057693555984,1183.0,42.15598317451988
coniferous,90.0,14.90458862341837,23.147136865609937,1103.0,46.44902208441464
coniferous,100.0,16.775536699946738,25.012911165335048,1011.0,49.69276358412003
coniferous,110.0,18.611065549869007,26.93431102680283,914.0,52.1292985098729
coniferous,120.0,20.396816651613317,28.90812337645448,822.0,53.96485387361008
coniferous,130.0,22.12414568559924,30.91108753793978,737.0,55.35735234660969
coniferous,140.0,23.788173486519952,32.91261624087958,663.0,56.42779376442092
coniferous,150.0,25.386426888159328,34.88205156475649,599.0,57.271684168124416
coniferous,160.0,26.918003996179586,36.79229419287645,545.0,57.96602146347581
coniferous,170.0,28.38308092737033,38.62122222694127,499.0,58.57298141893433
coniferous,180.0,29.782612831916595,40.35185930378874,462.0,59.142002787757015
coniferous,190.0,31.118138058991907,41.97190755507478,431.0,59.71132159905872
coniferous,200.0,32.39163626900525,43.47302080972904,406.0,60.30939419965443
coniferous,210.0,33.60541647391936,44.850031774128645,385.0,60.95630636068542
coniferous,220.0,34.76202422651632,46.100242580066926,369.0,61.665131228969535
coniferous,230.0,35.86416337760909,47.22282446629259,356.0,62.44317507945426
coniferous,240.0,36.914630346927126,48.21833636275832,346.0,63.29306906284916
coniferous,250.0,37.91625967706474,49.08835383579624,339.0,64.21369239187673
coniferous,30.0,3.97153311919314,8.09167569458275,4147.0,21.32761159927425
coniferous,40.0,6.219745929339213,12.27844025044018,1815.0,21.49987787505456
coniferous,50.0,8.229054799289479,15.53408417212377,1459.0,27.65349498027669
coniferous,60.0,10.221933850192286,18.103014569365588,1358.0,34.97596034123967
coniferous,70.0,12.267526277630632,20.26488153606857,1283.0,41.40378378071448
coniferous,80.0,14.345201154557907,22.283433180298367,1189.0,46.37438160181843
coniferous,90.0,16.416250376374716,24.319115875369864,1077.0,50.044076689917965
coniferous,100.0,18.44974169330876,26.432881044831127,960.0,52.72789103303114
coniferous,110.0,20.425877794894017,28.62264717220196,850.0,54.6955826945119
coniferous,120.0,22.333162104140296,30.855485647712342,750.0,56.14716663825229
coniferous,130.0,24.165333362125526,33.08813502188114,665.0,57.23278171182638
coniferous,140.0,25.919321563315613,35.27818238073201,594.0,58.07049693169142
coniferous,150.0,27.594079658580256,37.38925740862468,535.0,58.75554005861085
coniferous,160.0,29.189941469012435,39.3927339564341,487.0,59.36427455294446
coniferous,170.0,30.708249785726405,41.26757283221285,448.0,59.95624212564299
coniferous,180.0,32.151111925407825,42.99931576709414,417.0,60.57591509261813
coniferous,190.0,33.52121506132972,44.57881532530519,392.0,61.25462346387882
coniferous,200.0,34.8216735633784,46.00100731445472,373.0,62.01260104070856
coniferous,210.0,36.05589866792571,47.263861017747374,358.0,62.86096971119173
coniferous,220.0,37.22748759789426,48.367545612354206,347.0,63.80351972453544
coniferous,230.0,38.34013103816559,49.31380214620199,339.0,64.83821906260366
coniferous,240.0,39.397537832549865,50.10548994729496,334.0,65.95844666564514
coniferous,30.0,4.449990856929963,9.00062411845949,3439.0,21.883041118573296
coniferous,40.0,6.782179896297118,13.188291255208885,1798.0,24.574414996195493
coniferous,50.0,8.95217349780718,16.361964346377874,1522.0,32.01831786042172
coniferous,60.0,11.161523857998738,18.865192998766748,1414.0,39.53785886439034
coniferous,70.0,13.428903856751258,21.077313517349737,1304.0,45.504509532366
coniferous,80.0,15.708262893925156,23.269737109868764,1172.0,49.8445094011788
coniferous,90.0,17.955079891204974,25.56065569080172,1031.0,52.93968331366284
coniferous,100.0,20.140347024775416,27.962057886092506,898.0,55.14955642112084
coniferous,110.0,22.247584274993503,30.43297218800014,779.0,56.73375831158403
coniferous,120.0,24.268001992927783,32.914346586228994,680.0,57.88193692752906
coniferous,130.0,26.19726659100701,35.347730195662194,598.0,58.74267542778074
coniferous,140.0,28.0337652471746,37.68363734312372,532.0,59.43645496766614
coniferous,150.0,29.777728507986428,39.88404768839289,480.0,60.05971637631937
coniferous,160.0,31.430752175676368,41.921912301548495,439.0,60.68646659130849
coniferous,170.0,32.99548279656981,43.77940042095906,407.0,61.37016358003713
coniferous,180.0,34.47536872640666,45.44585258580489,383.0,62.146328672728686
coniferous,190.0,35.874444765645265,46.91591074944932,364.0,63.035514015968616
coniferous,200.0,37.197143858808325,48.18800314020842,351.0,64.04618299459982
coniferous,210.0,38.448136254951805,49.263207160102525,341.0,65.1772327072138
coniferous,220.0,39.63219654132695,50.14444444795052,336.0,66.42006588576676
coniferous,30.0,4.897262370028265,9.809133239204638,3066.0,23.17135532050612
coniferous,40.0,7.335786739456948,13.959323835587556,1830.0,28.016032674852177
coniferous,50.0,9.6979212182763,17.0333964234153,1592.0,36.28228380642022
coniferous,60.0,12.13541270448374,19.517827436276395,1456.0,43.58654536128641
coniferous,70.0,14.620187590067282,21.857740869479237,1304.0,48.94336100869878
